Entity,Year,Deaths %,CO2 Emissions,CO2 Emissions Per Cap,Food Emissions,Total GHG,Consumption of Ozone,Shared CO2 Emissions,Transport,Death_rate_ambient_ozone_pol,Death_rate_household_air_pol,Death_rate_all_causes,Death_actual_ozone,Death_actual_particulate,Death_actual_household,Death_under5,Death_5-14,Death_50-69,Death_70+,Death_15-49,Urban%,Child Mortality,Population,GDP,Forest area
Libya,2011,10.37728944376328,49212444,7.8772,9658670.0,115140000.0,131.89,0.14,13600000.0,1.7305106741072342,0.3506022332339233,75.00405893386441,53.374507653255904,2613.7702630306594,12.219159466138835,93.0808413236072,4.092728086916339,835.4426188095695,1232.5319100937086,501.9966723701149,78.277,1.75,3.55060868181457,8479.94796433782,217000.0
Libya,2012,11.81251698339164,51646672,8.2165,11519400.0,117760000.0,144.1,0.15,16800000.0,1.7562020831897438,0.3110059074563394,72.08555943930055,56.4717634374514,2611.5453958129715,11.257277179133949,80.20893336351071,3.603770353131943,847.8044625643229,1233.5719078970812,502.82808507237377,78.512,1.51,3.57238312286166,18806.7838015844,217000.0
Libya,2013,11.65389052197286,41914140,6.6316,10810300.0,109050000.0,144.0,0.12,17600000.0,1.8902976416147983,0.2841515629033315,70.3491898877234,63.47825800096403,2655.919636122818,10.712477623434138,70.96264552827064,3.297440288558805,875.2937698256502,1257.1756078523142,512.668430628992,78.756,1.4400000000000002,3.59204678495516,16160.1102385469,217000.0
Libya,2014,10.205645233659,71390467,11.2213,10171300.0,99390000.0,122.4,0.2,19500000.0,1.897113950496434,0.2643809834261683,69.50989586020218,66.55968158790891,2736.112888834447,10.386731073279812,64.27317665477878,2.9281940760910685,924.146617516958,1287.3596858640672,523.9648963104623,79.009,1.38,3.61573990929447,12201.2046848341,217000.0
Lithuania,1995,6.74941762498737,15091554,4.1613,13738089.4,23220000.0,421.7,0.06,2900000.0,1.2188973057408066,8.424722893729031,59.97397311311386,56.5785592724406,2740.7086329946874,384.03437110513806,14.455243114794808,0.3848838929662382,1047.137142503246,1524.554031069496,210.7558916866245,67.285,1.5,57.8988832163369,10640.3600314613,1982500.0
Lithuania,1996,6.51732028477717,15773444,4.3769,13755860.8,24020000.0,328.4,0.07,3200000.0,1.106843677610836,7.415238343137558,54.452081134958135,51.66876328374418,2502.449681889658,339.8112391084219,11.64642000925848,0.3522089026263689,922.9476232541734,1441.6680978827944,177.5040951245489,67.225,1.34,57.4603222718571,11274.6401082973,1990000.0
Lithuania,1997,6.22179579055248,15196349,4.2449,13653817.9,23860000.0,122.3,0.06,3600000.0,0.7258701568796024,6.632788050462657,49.54036042057693,34.20068679660261,2294.932360650173,306.2549324880773,10.106632406188284,0.3464908264662392,812.3648140598282,1359.2661911575017,147.04891899679237,67.166,1.2300000000000002,57.0379227823867,12302.1012042126,1997500.0
Lithuania,1998,5.9667879055664,16030578,4.5091,13625929.0,24710000.0,110.6,0.07,3800000.0,0.6233314850257989,6.231159698059111,47.08683566233657,29.76196616982917,2204.9708698558265,290.79313163369216,8.892864199478813,0.3531283925793724,760.3799881356422,1329.9812892318705,135.1255660660863,67.106,1.16,56.626212507977,13317.9077290717,2005000.0
Lithuania,1999,5.70890735895158,13482975,3.8204,12897169.7,22000000.0,87.9,0.05,3400000.0,0.5697918269353897,5.669716606063247,43.720414914400415,27.59137540471576,2070.131507981904,267.48414669716567,7.938809012816238,0.3349407897473246,698.4456026624113,1270.906076330997,120.09745459064816,67.046,1.11,56.2258774728781,13259.6169504528,2012500.0
Lithuania,2000,5.55643238321902,11876400,3.3915,12810912.5,20260000.0,50.5,0.05,3000000.0,0.7113621297895494,5.181517757440528,41.57648807918188,34.91804736267512,1988.875266917016,247.00572675879127,7.016262895621307,0.2991738326827267,664.7864429738095,1237.5904403376494,114.10099423992853,66.986,1.07,55.8317804722399,13846.6832884609,2020000.0
Lithuania,2001,5.4723249361554895,12627073,3.6351,12686764.7,21140000.0,11.7,0.05,3300000.0,0.8481927916045419,5.0055067125822434,42.69664429157886,42.25315564497562,2067.9861176514987,241.7336887756501,6.1865776834947335,0.2830974735812896,687.1924545447399,1296.0690260823822,120.50811751227842,66.919,1.03,55.3736119974473,14872.3790941775,2035000.0
Lithuania,2002,5.40401575336617,12699159,3.6865,13058337.1,20860000.0,14.7,0.05,3400000.0,0.8831637744710522,4.558271216704853,41.701288642945,44.61940851860746,2044.7041950361563,222.9768125545674,5.883607494708572,0.2829497086654473,670.7109106205852,1295.0541191519162,117.39201657888924,66.828,0.99,54.9308710912572,16004.4388997159,2050000.0
Lithuania,2003,5.319694828854,12692599,3.7174,13359840.4,21260000.0,13.0,0.05,3500000.0,0.8333028325236801,4.197161435948004,41.40243102481651,42.79608176144156,2058.4711214061927,208.3465954888947,5.729961446901402,0.2608395497269975,664.0336747929795,1311.7410290915795,119.50169828644508,66.737,0.95,54.4864869176771,17839.7827376226,2065000.0
Malaysia,1990,10.37212702398683,54269364,3.01,98043581.4,210930000.0,4193.7,0.24,14600000.0,0.975248504591702,9.433571577770884,79.85158975530284,71.14490766350778,6999.459041072656,830.1584555394516,377.28285410652217,18.362830079072825,2836.8117484474224,3029.6977954588,808.4487206443463,49.794,1.66,54.8769563232385,10306.0820868861,20618500.0
Malaysia,1991,9.8407910234903,65785134,3.5521,98774016.3,218940000.0,4501.8,0.28,15700000.0,0.8402148172773792,8.24405013762124,75.05804628242205,63.19564390684411,6778.785387199944,746.8682385125422,346.4860698213437,16.54984679052762,2759.1466063906387,2930.022568177384,789.7759399268924,50.576,1.58,56.3687140465683,10991.0680955374,20525785.0
Malaysia,1992,9.422149433067627,72961016,3.8395,99639241.0,226180000.0,4469.5,0.32,16700000.0,0.9411723397305208,7.3060401074704355,71.9399105649436,72.91583861992501,6687.778244771531,681.137030505121,336.8629420099592,15.422168989780678,2706.20583462412,2924.0327715549697,778.1703662126245,51.814,1.51,57.8379546492163,11663.6270775967,20433070.0
Malaysia,1993,9.02297596787819,86718637,4.4506,99464043.9,229650000.0,4266.8,0.38,17400000.0,1.1041402614506348,6.612779425648519,70.75861998283273,87.58290822685478,6721.9540470161855,629.0756108892409,319.87388790619235,14.39464501883648,2678.6544353556023,3031.5699488093896,765.0440381530169,53.109,1.4400000000000002,59.3057403743722,12500.5041679655,20340355.0
Malaysia,1994,8.66791648824108,90630988,4.5367,102012468.6,236410000.0,5188.4,0.39,19300000.0,1.3084629486904569,6.19513892040139,72.76357163943399,104.07322476430376,6940.097629053913,590.2239365922418,294.70011245106645,13.06173762783028,2632.0927063966005,3336.534885238052,767.7814121046499,54.402,1.39,60.8050768528382,13315.4223448057,20247640.0
Malaysia,1995,8.42429109969702,113933664,5.5611,101936787.7,244070000.0,3740.2,0.49,20500000.0,1.2610055476161324,5.710056538801483,74.5092248645997,101.02057519387525,7232.696686614078,553.4425633016131,276.09133837228626,12.690923400045255,2758.309686407661,3463.4954722227512,823.1298414052015,55.688,1.34,62.3576441941866,14260.0961720758,20154925.0
Malaysia,1996,8.255245864356791,113441942,5.3975,97402656.4,252060000.0,3285.1,0.47,23400000.0,1.6914444574542284,4.725244153702875,69.63891693052977,139.51438941836378,7027.012993689502,476.457242003792,239.34459893606515,11.805125749725573,2784.070183303709,3296.2798698984634,835.0276052199082,56.969,1.29,63.9708385329478,15290.9144422192,20062210.0
Malaysia,1997,8.10089591822503,122084586,5.6618,100300549.3,262280000.0,3619.3,0.5,26900000.0,1.947351595043463,3.9163487302072313,65.73953361694535,167.27472071707138,6931.10807842138,412.011317716092,239.56369872172093,12.180405468110854,2835.73196516498,3154.801100634622,856.1056291490275,58.237,1.2400000000000002,65.6301628367067,15995.7194856008,19969495.0
Malaysia,1998,7.963573136689719,114237500,5.1657,128586662.0,292570000.0,2625.5,0.47,25100000.0,1.9927323078147203,3.240246119387297,62.271259021540864,179.67753389909151,6840.489541068727,353.7216365803926,213.8313948367088,12.02457734513155,2856.385961479564,3080.604441941208,857.3206993652059,59.496,1.17,67.3098371632933,14448.7410999046,19876780.0
Malaysia,1999,7.8962316280628,108291440,4.7787,98160813.7,269370000.0,2342.5,0.44,30400000.0,1.3477548199844889,3.022143761836553,67.05342153206703,126.34394395210204,7660.844444006699,342.51105834454626,220.3608809166708,13.130612477110043,3225.776560421862,3358.748128447353,969.1722056958072,60.742,1.1,68.9736508902755,14965.6176979121,19784065.0
Malaysia,2000,7.752220488466099,126203049,5.4411,99115358.6,279730000.0,2435.0,0.5,32200000.000000004,1.0369339751539908,2.497035419171393,62.75774823108077,99.60575080190658,7349.269980837594,289.80900595392245,168.21316088081835,10.487782450612931,3070.604939572096,3287.219215569012,912.3506331669544,61.977,1.02,70.5958058134226,15917.0571666512,19691350.0
Malaysia,2001,7.656038611694741,133988165,5.6513,122278585.7,306670000.0,2374.7,0.53,35000000.0,1.050944382726078,2.2216570744213584,62.04437367556732,102.54352075267352,7433.85097384675,263.7506927086417,144.7217557532905,9.342422502224125,3077.513080755953,3400.2194089765862,904.5978266113704,62.922,0.95,72.1628823618932,15652.0144547265,19616980.0
Malaysia,2002,7.5821850886314195,135118208,5.5815,130341283.9,325450000.0,1966.3,0.52,35800000.0,1.042638726434128,2.0302465098450884,62.4138370565632,103.30723145515302,7615.8325999553,245.0884391800359,139.40669952296022,9.21188103643975,3116.149960934641,3548.334580839556,906.0367090768505,63.856,0.8900000000000001,73.6825171206818,16155.6016212127,19542610.0
Malaysia,2003,7.63597622473647,156521332,6.3372,130836269.2,334500000.0,1516.6,0.57,38100000.0,1.4552380554766418,1.8257371323571705,61.90215453616873,149.83157788997684,7879.770346438371,229.7321810928253,138.05238769545178,9.557349504013173,3308.840025834478,3605.198457248133,967.9537040462686,64.78,0.8500000000000001,75.1752275148379,16751.4071411006,19468240.0
Malaysia,2004,7.609152795158609,171102004,6.7923,142587761.4,360050000.0,1483.6,0.6,41000000.0,1.5635842399163271,1.6066453773119165,59.35660562166807,168.38697669528543,7901.923175476082,211.014894812012,136.42537899963446,9.712446461987478,3370.279782210275,3553.1721225519614,1000.720421947508,65.694,0.8300000000000001,76.6721868817532,17538.4856988199,19393870.0
Malaysia,2005,7.58210269196032,181332800,7.0583,146027718.3,374480000.0,1042.4,0.61,40700000.0,1.890873245125149,1.4527590793339689,57.77944845262358,211.65361402606413,7985.642525388426,197.8776396498776,136.59220122114468,9.769961431859253,3398.1916183547683,3632.739323657236,1020.003034749482,66.594,0.82,78.1939278648608,18114.1441085608,19319500.0
