,Entity,Year,Deaths %,CO2 Emissions,CO2 Emissions Per Cap,Food Emissions,Total GHG,Consumption of Ozone,Shared CO2 Emissions,Transport,Death_rate_ambient_ozone_pol,Death_rate_household_air_pol,Death_rate_all_causes,Death_actual_ozone,Death_actual_particulate,Death_actual_household,Death_under5,Death_5-14,Death_50-69,Death_70+,Death_15-49
2220,Syria,1997,12.90472606422248,45377967,2.9903,16975414.900000002,74200000.0,2756.2,0.19,9000000.0,3.046732039397152,6.2375181548269705,124.34206937941556,144.2920904130045,7662.836669221777,388.39749271159536,842.7825442341541,42.9656358759114,3006.378508676936,2715.327162531361,1199.6749083164125
2221,Syria,1998,12.72188311635655,49756322,3.1896,17248718.3,77460000.0,1741.5,0.21,9300000.0,3.043787946582359,5.310969347559219,125.1889200209138,147.52288392362678,7799.104073726365,333.85773102685897,740.4560450113928,43.08190205600268,3124.1480105164374,2829.7691082099136,1209.171891856239
2222,Syria,1999,12.49442527334549,51772170,3.2329,16779979.4,76500000.0,1808.5,0.21,8000000.0,3.0630692028166187,4.303479318400371,120.53479754492362,151.8739464991569,7624.220780831694,274.33935317124457,638.6723982575213,38.93531684464126,3066.188751876046,2824.1216132445124,1208.1766471081291
2223,Syria,2000,12.47139971470167,50481212,3.0761,16996303.2,76450000.0,1712.5,0.2,8500000.0,2.957188570718721,3.468198936361537,115.2930814860322,151.49111603703028,7469.588171494324,226.03916400251765,542.6565986782434,35.24185441958662,2975.2996088090413,2835.116457936713,1232.764767687777
2224,Syria,2001,12.47848464027997,48139900,2.8712,15741591.9,76970000.0,1988.9,0.19,8000000.0,2.90390730219941,2.769319028778122,109.59677896407416,152.77805221843113,7261.895899658522,184.65584446143205,483.3575985686201,34.754648312337096,2848.1252564524266,2838.0882589363814,1210.3481896071892
2225,Syria,2002,12.555208279691248,38439424,2.2499,16256025.000000002,77580000.0,1754.1,0.15,8700000.0,2.936891542226609,2.2891099042521885,109.22743730314872,158.6363075114293,7393.447272740446,155.93564335173116,437.5294140050008,35.43980584745838,2896.14192681365,2950.0032557963814,1232.969177789374
2226,Syria,2003,12.69911575431938,53581772,3.0767,16554854.7,77900000.0,1654.1,0.2,7900000.0,2.923679124397802,1.780513020679276,103.2139702871157,164.0990890242854,7196.624072437509,124.62203029960878,351.10025231546217,29.770452051140264,2831.529443387674,2883.553168476956,1264.7698452305558
2227,Syria,2004,12.82371905050228,50384730,2.8262,18764439.8,80270000.0,1302.2,0.18,10300000.0,2.7606392519004497,1.4552402840027223,102.42744735449168,161.10709248349846,7419.369654678284,105.70384243928945,341.79035943526617,29.896459853359342,2864.1857440614813,2960.992820745701,1383.611363065967
2228,Syria,2005,12.81555178411358,49881564,2.7167,21468004.2,91420000.0,1100.3,0.17,13600000.0,2.647155361969497,1.1871988248779035,101.03829145201502,159.1255033530558,7563.376537571942,89.14149230486778,359.04465058039705,34.25605183877014,2891.376645098143,3043.478151888876,1394.3465415188086
2229,Syria,2006,12.83550186309664,52841498,2.7725,22177297.7,94680000.0,710.8,0.17,14500000.0,2.561340495643947,0.9829133649264422,101.6949787585002,158.5804352369405,7863.596665051081,76.30128475393445,391.8071494188092,38.9442877672988,2985.5476224187337,3199.191099714676,1406.686940968495
2230,Syria,2007,13.143166157286007,65718960,3.3061,23086956.6,97960000.0,372.3,0.21,15100000.0,2.812459348151324,0.8136649898959413,104.8367387560908,178.8765158012657,8318.403654622256,64.82485784758703,411.07379806029934,40.72500894519302,3145.840378627668,3445.930322802172,1453.7106619881952
2231,Syria,2008,13.50328398334328,66876696,3.2364,22148600.0,98980000.0,289.8,0.21,15200000.0,3.129458968331468,0.6770983774251216,109.85645559312086,205.9220781182166,9037.64178083937,56.061961103748544,487.1900257002666,44.444313065648885,3423.980213827037,3741.0514726734505,1546.897833691173
2232,Syria,2009,13.732706523895368,61562260,2.9031,21416700.0,93910000.0,230.7,0.19,12800000.0,3.046864220191573,0.5483974657856754,109.8220048380873,207.10306543408447,9308.37731725088,46.75140507818971,481.4514491166669,47.40339475071875,3520.377681180108,3903.437965621352,1562.8098920161242
2233,Syria,2010,13.77633440388577,60716515,2.8422,20485900.0,93100000.0,167.5,0.18,12300000.0,2.8116078231913937,0.4711692648909987,110.66696010862782,198.3695369517424,9654.188000789774,41.29329992937499,481.3004998703924,51.82349522424887,3618.064265006704,4122.454603933138,1578.9146737070164
2234,Syria,2011,12.6962948881451,57784694,2.741,20817500.0,86740000.0,176.57,0.17,11800000.0,2.749852469075793,0.4215779781972171,110.66298667000656,200.9241680877079,9913.589112343265,37.906100267456445,482.8448663436069,52.52356845644651,3730.104876787392,4295.348267758693,1553.6917010848358
2235,Syria,2012,9.64233264686618,47230831,2.3108,18956011.0,71310000.0,83.18,0.14,8400000.0,2.7715336543273823,0.379229479596076,109.26579315482265,209.3247699923032,10000.898304537895,34.80266340049303,435.1619888911766,47.74369506481887,3866.943725541717,4356.298011769036,1504.0756532634323
2236,Syria,2013,9.807254494649,34233685,1.7485,16800934.4,57300000.0,28.03,0.1,7200000.0,2.720124641714972,0.3488540235039389,108.7984755738812,211.6688926190104,10121.831178219662,32.491084310564176,375.9453293542565,43.35052872476928,3993.166330261605,4484.755035317327,1436.2828471807238
2237,Tajikistan,1991,19.4971694888851,9767464,1.8086,6351660.0,17040000.0,93.3,0.04,700000.0,5.692035285059185,141.73299127356884,51.17847181620415,156.21336234663667,2007.0552357172403,5719.04322932018,787.8006261649871,26.5543060164422,599.8946030262058,604.0617601055861,144.95730275065642
2238,Tajikistan,1995,19.27712515545849,2445277,0.4242,5319770.0,8140000.000000001,32.7,0.01,200000.0,5.702630976408795,152.48583787840263,64.66217588619098,161.38085714633235,2435.9027693193007,5885.782409986978,786.291353702569,58.27323813276759,740.1504422926699,756.7817762521048,255.7868160855224
2239,Tajikistan,1996,18.45058321325759,2823798,0.4826,4988081.7,7450000.0,38.2,0.01,100000.0,5.141695116867752,144.48368341328364,63.33590093972172,147.92569169271812,2399.881106350745,5617.64215899689,762.701627446484,59.0330977425884,729.2199026204025,731.4158948957515,265.4362753382356
2240,Tajikistan,1997,19.06143753605025,2150084,0.3621,4902297.4,7720000.0,51.6,0.01,100000.0,4.970943638949727,143.57840852528074,64.08491882873336,143.06091796768965,2407.3386687984125,5514.484671546793,744.9971124748131,59.650026492601285,693.203429465893,794.2639836482923,258.285034684501
2241,Tajikistan,1998,18.99621628524829,2496671,0.4142,4706780.0,7690000.0,60.1,0.01,100000.0,5.045377786686848,148.0136888861488,67.08313188554997,144.17413527908582,2462.908284073907,5530.721379626277,720.3774874010586,58.06369760345229,683.7070244904573,895.5212425789568,249.412967279068
