year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area
2009,1,      Goddard,      S,5.71,3.5,2009.0,2.0,      Goddard,      S,2.99,1.97,2009.0,3.0,      Goddard,      S,4.44,3.02,2009.0,4.0,      Goddard,      S,7.8,5.96,2009.0,5.0,      Goddard,      S,10.93,8.46,2009.0,6.0,      Goddard,      S,13.91,11.09,2009.0,7.0,      Goddard,      S,16.26,13.09,2009.0,8.0,      Goddard,      S,18.1,14.45,2009.0,9.0,      Goddard,      S,18.96,15.08,2009.0,10.0,      Goddard,      S,18.3,14.35,2008,11,      Goddard,      S,16.25,12.01,2008,12,      Goddard,      S,11.51,7.39
2010,1,      Goddard,      S,4.96,3.33,2010.0,2.0,      Goddard,      S,3.11,2.11,2010.0,3.0,      Goddard,      S,3.85,2.66,2010.0,4.0,      Goddard,      S,6.72,5.0,2010.0,5.0,      Goddard,      S,10.64,8.33,2010.0,6.0,      Goddard,      S,14.41,11.65,2010.0,7.0,      Goddard,      S,16.92,13.74,2010.0,8.0,      Goddard,      S,18.61,14.95,2010.0,9.0,      Goddard,      S,18.8,14.43,2010.0,10.0,      Goddard,      S,18.65,14.41,2009,11,      Goddard,      S,15.85,11.8,2009,12,      Goddard,      S,10.74,7.09
2011,1,      Goddard,      S,4.51,3.05,2011.0,2.0,      Goddard,      S,2.52,1.86,2011.0,3.0,      Goddard,      S,3.37,2.26,2011.0,4.0,      Goddard,      S,6.1,4.39,2011.0,5.0,      Goddard,      S,10.09,7.85,2011.0,6.0,      Goddard,      S,13.33,10.54,2011.0,7.0,      Goddard,      S,15.75,12.34,2011.0,8.0,      Goddard,      S,17.81,14.04,2011.0,9.0,      Goddard,      S,18.74,14.57,2011.0,10.0,      Goddard,      S,18.22,14.23,2010,11,      Goddard,      S,16.75,11.92,2010,12,      Goddard,      S,11.27,6.94
2012,1,      Goddard,      S,5.65,3.71,2012.0,2.0,      Goddard,      S,3.55,2.19,2012.0,3.0,      Goddard,      S,4.55,2.91,2012.0,4.0,      Goddard,      S,7.31,5.55,2012.0,5.0,      Goddard,      S,10.46,8.15,2012.0,6.0,      Goddard,      S,13.55,10.79,2012.0,7.0,      Goddard,      S,16.3,13.31,2012.0,8.0,      Goddard,      S,18.1,14.56,2012.0,9.0,      Goddard,      S,19.21,15.41,2012.0,10.0,      Goddard,      S,18.59,14.45,2011,11,      Goddard,      S,15.76,11.77,2011,12,      Goddard,      S,11.2,7.4
2013,1,      Goddard,      S,5.54,3.94,2013.0,2.0,      Goddard,      S,3.84,2.58,2013.0,3.0,      Goddard,      S,5.02,3.49,2013.0,4.0,      Goddard,      S,7.62,5.75,2013.0,5.0,      Goddard,      S,10.92,8.49,2013.0,6.0,      Goddard,      S,14.15,11.27,2013.0,7.0,      Goddard,      S,16.81,13.73,2013.0,8.0,      Goddard,      S,18.66,15.13,2013.0,9.0,      Goddard,      S,19.39,15.28,2013.0,10.0,      Goddard,      S,19.02,15.13,2012,11,      Goddard,      S,16.11,12.07,2012,12,      Goddard,      S,10.39,7.38
2014,1,      Goddard,      S,6.33,4.38,2014.0,2.0,      Goddard,      S,3.84,2.65,2014.0,3.0,      Goddard,      S,4.9,3.32,2014.0,4.0,      Goddard,      S,8.34,6.41,2014.0,5.0,      Goddard,      S,11.52,9.03,2014.0,6.0,      Goddard,      S,14.69,12.06,2014.0,7.0,      Goddard,      S,17.11,13.95,2014.0,8.0,      Goddard,      S,18.91,15.1,2014.0,9.0,      Goddard,      S,19.76,15.75,2014.0,10.0,      Goddard,      S,19.0,14.83,2013,11,      Goddard,      S,16.87,12.77,2013,12,      Goddard,      S,11.85,8.34
2015,1,      Goddard,      S,6.85,4.34,2015.0,2.0,      Goddard,      S,3.8,2.54,2015.0,3.0,      Goddard,      S,4.96,3.45,2015.0,4.0,      Goddard,      S,8.37,6.37,2015.0,5.0,      Goddard,      S,11.72,9.21,2015.0,6.0,      Goddard,      S,14.47,11.48,2015.0,7.0,      Goddard,      S,16.78,13.45,2015.0,8.0,      Goddard,      S,17.75,14.02,2015.0,9.0,      Goddard,      S,18.44,14.45,2015.0,10.0,      Goddard,      S,18.41,14.36,2014,11,      Goddard,      S,16.39,12.26,2014,12,      Goddard,      S,11.93,8.21
2016,1,      Goddard,      S,4.69,3.03,2016.0,2.0,      Goddard,      S,2.79,1.86,2016.0,3.0,      Goddard,      S,4.07,2.77,2016.0,4.0,      Goddard,      S,7.22,5.38,2016.0,5.0,      Goddard,      S,10.1,7.91,2016.0,6.0,      Goddard,      S,13.24,10.61,2016.0,7.0,      Goddard,      S,16.02,12.55,2016.0,8.0,      Goddard,      S,17.89,13.98,2016.0,9.0,      Goddard,      S,18.15,13.86,2016.0,10.0,      Goddard,      S,17.46,12.94,2015,11,      Goddard,      S,16.18,11.9,2015,12,      Goddard,      S,10.66,7.09
2017,1,      Goddard,      S,3.78,2.56,2017.0,2.0,      Goddard,      S,2.29,1.64,2017.0,3.0,      Goddard,      S,2.7,1.83,2017.0,4.0,      Goddard,      S,5.44,3.93,2017.0,5.0,      Goddard,      S,9.01,6.83,2017.0,6.0,      Goddard,      S,12.41,9.8,2017.0,7.0,      Goddard,      S,15.3,12.28,2017.0,8.0,      Goddard,      S,17.22,13.62,2017.0,9.0,      Goddard,      S,17.91,13.92,2017.0,10.0,      Goddard,      S,17.78,13.45,2016,11,      Goddard,      S,14.22,9.84,2016,12,      Goddard,      S,8.28,5.51
2018,1,      Goddard,      S,4.21,2.69,2018.0,2.0,      Goddard,      S,2.33,1.63,2018.0,3.0,      Goddard,      S,3.54,2.31,2018.0,4.0,      Goddard,      S,6.03,4.15,2018.0,5.0,      Goddard,      S,9.32,7.15,2018.0,6.0,      Goddard,      S,12.89,10.23,2018.0,7.0,      Goddard,      S,15.7,12.49,2018.0,8.0,      Goddard,      S,17.42,14.01,2018.0,9.0,      Goddard,      S,17.96,14.2,2018.0,10.0,      Goddard,      S,17.73,13.99,2017,11,      Goddard,      S,15.11,10.91,2017,12,      Goddard,      S,9.48,6.23
2019,1,      Goddard,      S,3.87,2.66,2019.0,2.0,      Goddard,      S,2.65,1.81,2019.0,3.0,      Goddard,      S,3.17,2.1,2019.0,4.0,      Goddard,      S,5.72,4.18,2019.0,5.0,      Goddard,      S,8.85,6.84,2019.0,6.0,      Goddard,      S,12.25,9.75,2019.0,7.0,      Goddard,      S,15.3,12.33,2019.0,8.0,      Goddard,      S,17.48,13.99,2019.0,9.0,      Goddard,      S,18.33,14.6,2019.0,10.0,      Goddard,      S,17.94,13.9,2018,11,      Goddard,      S,15.1,10.75,2018,12,      Goddard,      S,9.19,5.59
2020,1,      Goddard,      S,4.6,3.09,2020.0,2.0,      Goddard,      S,2.92,1.83,2020.0,3.0,      Goddard,      S,4.0,2.59,2020.0,4.0,      Goddard,      S,6.66,4.81,2020.0,5.0,      Goddard,      S,9.87,7.61,2020.0,6.0,      Goddard,      S,13.27,10.59,2020.0,7.0,      Goddard,      S,15.72,12.58,2020.0,8.0,      Goddard,      S,17.76,14.42,2020.0,9.0,      Goddard,      S,18.84,15.09,2020.0,10.0,      Goddard,      S,18.49,14.6,2019,11,      Goddard,      S,14.99,11.19,2019,12,      Goddard,      S,9.41,6.59
2021,1,      NRTSI-G,      S,4.67,2.85,2021.0,2.0,      NRTSI-G,      S,2.83,1.68,2021.0,3.0,      NRTSI-G,      S,4.45,2.79,2021.0,4.0,      NRTSI-G,      S,7.08,5.26,2021.0,5.0,      NRTSI-G,      S,10.33,8.15,2021.0,6.0,      NRTSI-G,      S,13.46,10.98,2021.0,7.0,      NRTSI-G,      S,16.38,13.35,2021.0,8.0,      NRTSI-G,      S,18.13,14.64,2021.0,9.0,      NRTSI-G,      S,18.45,14.35,2021.0,10.0,      NRTSI-G,      S,17.63,13.29,2020,11,      Goddard,      S,16.23,11.88,2020,12,      Goddard,      S,10.57,6.61
2022,1,      NRTSI-G,      S,3.86,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,11,      NRTSI-G,      S,14.95,10.34,2021,12,      NRTSI-G,      S,9.09,5.38
